Row Labels,Sum of critical + direct,entity_type
DANIEL  GINGERICH,51.0,PERSON
HENRY SOMMERS,24.0,PERSON
Wilma Jinson,20.0,PERSON
DELORIS RICHARDS DICK RICHARDS,20.0,PERSON
Gary Felts,18.0,PERSON
Joyce Cairns,15.0,PERSON
Donna Taber,15.0,PERSON
SHARRI SINKIE,12.0,PERSON
Izene Hynes,12.0,PERSON
Helene Hamrick,12.0,PERSON
Carolyn Anderson,12.0,PERSON
Angela Weaver,12.0,PERSON
S GLENICE VIKEN,11.0,PERSON
LEON WALTHALL PEGGY VAN HUSS,10.0,PERSON
DONALD SCHRAGE,10.0,PERSON
Chris McGill,10.0,PERSON
Sadie and Daniel Yoder,9.0,PERSON
Mary Moore,9.0,PERSON
MICHAEL FRANKE,8.0,PERSON
Lucille Godfrey,8.0,PERSON
LYNN SARTIN,8.0,PERSON
Joey Farley,8.0,PERSON
Janice Nelson Kenneth Nelson,8.0,PERSON
Elisa Brandvik,8.0,PERSON
Ellen Roberts,8.0,PERSON
Cynthia Paula Jack,8.0,PERSON
CHERYL RONDY,8.0,PERSON
Becky Goodman Leonard Goodman,8.0,PERSON
Susan Franz,7.0,PERSON
CLAYTON YODER,7.0,PERSON
Peggy Shaw,6.0,PERSON
RAY RANGE,6.0,PERSON
Robert and Dawn Troupe,6.0,PERSON
Roger Campbell Marla Campbell,6.0,PERSON
Melva Langford,6.0,PERSON
Marjorie Walker,6.0,PERSON
OWEN YODER,6.0,PERSON
PAMELA L. BALDWIN,6.0,PERSON
LINDY ASCHINGER KEVIN ASCHINGER,6.0,PERSON
LORA LAMPE,6.0,PERSON
Ivan Yoder,6.0,PERSON
JOHN DANKER,6.0,PERSON
John Nisley,6.0,PERSON
JOHN ZEISET,6.0,PERSON
Heath Meyers,6.0,PERSON
Dwayne Hurliman,6.0,PERSON
Charles and Debbi McGinnis,6.0,PERSON
Dianne Dick,6.0,PERSON
David D Yoder,6.0,PERSON
ALVIN HERSHBERGER,6.0,PERSON
CAROL STROUD,6.0,PERSON
Sheryl Tietz,5.0,PERSON
Tyler Cleckley,5.0,PERSON
LEON NOLT,5.0,PERSON
STEVE YODER,4.0,PERSON
Stephen Schrock,4.0,PERSON
Virginia Hinderer,4.0,PERSON
Stevie Hoover,4.0,PERSON
Virginia Whaley,4.0,PERSON
WAYNE YODER,4.0,PERSON
Teresa Graham,4.0,PERSON
Teresa Rauch,4.0,PERSON
SARAH YOUNG,4.0,PERSON
SAM SCHROCK,4.0,PERSON
Sally Culver,4.0,PERSON
Samuel Borntrager Polly Borntrager,4.0,PERSON
RAYMOND LAWSON,4.0,PERSON
Roger Deters Debra Deters,4.0,PERSON
RANDY STOEN,4.0,PERSON
PATSY EVANS,4.0,PERSON
Monroe Hochstetler,4.0,PERSON
MERLE MILLER,4.0,PERSON
Menno Gingerich,4.0,PERSON
Marcia Blecha Kelvin Blecha,4.0,PERSON
MICHAEL & RONALD LOVE,4.0,PERSON
MARVIN BURKHOLDER,4.0,PERSON
NATHAN ZIMMERMAN,4.0,PERSON
Marvin Nisley,4.0,PERSON
Pat Crabtree,4.0,PERSON
Levi Hershberger,4.0,PERSON
KIMBERLY COLEMAN,4.0,PERSON
L.V. CASE JEAN CASE,4.0,PERSON
Kevin Harrison,4.0,PERSON
Lois Baker,4.0,PERSON
KAREN CRUME,4.0,PERSON
Larry Albrecht,4.0,PERSON
Jeff Coley Theresa Coley,4.0,PERSON
JIMMY WEST JR. CONNIE WEST,4.0,PERSON
Judy Koehn,4.0,PERSON
JEREMY BONTRAGER,4.0,PERSON
JEREMY SWARTZENTRUBER MELISSA SWARTZENTRUBER,4.0,PERSON
ELVINA JOHNSON,4.0,PERSON
GINA WESTERCAMP,4.0,PERSON
EllaMae Brubaker,4.0,PERSON
Doug and Loretta Gurtler,4.0,PERSON
IDA LEWIS,4.0,PERSON
HOLLY KELLOGG,4.0,PERSON
DAVID HORNING,4.0,PERSON
CATHY SPEER,4.0,PERSON
David Grove Glenda Grove Eric Grove Adam Grove,4.0,PERSON
Connie Fahey,4.0,PERSON
Dan De Boer,4.0,PERSON
Christy C. M. Schwartz Mary T. Schwartz,4.0,PERSON
David Weaver,4.0,PERSON
DELMAR WAGLER,4.0,PERSON
Dennis Troyer,4.0,PERSON
Crist R Miller,4.0,PERSON
