Row Labels,Sum of critical + direct,entity_type
Envigo RMS LLC,64,ORG
SANDSTONE VALLEY LLC,6,ORG
LUV MY PUP LLC,4,ORG
Cowtown Frenchies and Bluebonnet Bulldogs LLC,4,ORG
CAPTIVA KENNEL INC.,4,ORG
Silky Pets LLC,2,ORG
"Royal Heritage Kennel, LLC",2,ORG
KRUSE FARM ENTERPRISES INC.,2,ORG
J & A ACRES LLC,2,ORG
J Maassen Inc,2,ORG
Dots Little Doggies Inc.,2,ORG
FEDLER AG INC.,2,ORG
Indian Ridge Kennel LLC,2,ORG
CLOUDY DAY LANE LLC,2,ORG
Clover Hill Acres LLC,2,ORG
SUGARFORK KENNELS L L C,1,ORG
Valness Yorkies LLC,0,ORG
SIXTH DAY KENNELS LLC,0,ORG
Whistle Time LLC,0,ORG
Skyline View LLC,0,ORG
South Ridge Kennel Inc.,0,ORG
Southern Indiana Frenchies LLC,0,ORG
Spring River Pups LLC,0,ORG
Squaw Creek Kennels LLC,0,ORG
Siess Ranch LLC,0,ORG
WALNUT RIDGE CUDDLY CANINES LLC,0,ORG
"Walnut Valley Pets, LLC",0,ORG
Waterman Farms Inc.,0,ORG
TRAIL END ACRES LLC,0,ORG
Tri Valley Resources LLC,0,ORG
"Triple H's Farm, LLC",0,ORG
Two B Kennels LLC,0,ORG
Stoney Acres Kennel,0,ORG
Stoney Creek Kennel LLC,0,ORG
Stoney Hill Kennel LLC,0,ORG
VALLEY VIEW K 9S LLC,0,ORG
STRAIGHTLINE KENNELS LLC,0,ORG
"Stuart Enterprises, LLC",0,ORG
Sugar Bulldogs LLC,0,ORG
"Sugar Camp Farm, Inc",0,ORG
Sugar Valley Canine LLC,0,ORG
Sugarbear Exotics LLC,0,ORG
Viking Country Kennel LLC,0,ORG
SUMMERS GOLDENS LLC,0,ORG
Wagging Tails LLC,0,ORG
Sunny Creek Farms,0,ORG
Walnut Creek Kennels,0,ORG
Sherwood Boutique and School for Dogs,0,ORG
Sunny Ridge Doodles LLC,0,ORG
Sunrise Kennels LLC,0,ORG
Sunrise Pets LLC,0,ORG
Wanee Puppy Tales LLC,0,ORG
Washausen Kennels LLC,0,ORG
Sunrise Valley LLC,0,ORG
Sunset Grove Kennels LLC,0,ORG
SUNSET KENNELS LLC,0,ORG
Sunset Pets LLC,0,ORG
Sunset View Kennels LLC,0,ORG
Sunset View Puppies LLC,0,ORG
Whipperwillridge LLC,0,ORG
Whispering Pines Kennel LLC,0,ORG
Sunvalley Kennel LLC,0,ORG
"Shiraz Farm, LLP",0,ORG
Sweet Opal Farms L L C,0,ORG
Top Notch Breeders LLC,0,ORG
"SZ ROLLING ACRES, LLC",0,ORG
T.V.K. LLC,0,ORG
Treasured Paws LLC,0,ORG
Tag Along Puppies LLC,0,ORG
Tall Pine LLC,0,ORG
Triple EEE Farms LLC,0,ORG
United Pets LLC,0,ORG
"Valley Ridge Kennel, LLC",0,ORG
SHOW ME SANDHILLS FARM LLC,0,ORG
Taylor Ridge Kennel LLC,0,ORG
TEACHERS PETS LLC,0,ORG
Teddy Bear Playground LLC,0,ORG
Tellier's AKC Boston Terriers,0,ORG
"Virginia Coast Poodles, LLC",0,ORG
Von Waldberg Inc,0,ORG
Walnut Grove Kennel LLC,0,ORG
Walnut Ridge Kennel LLC,0,ORG
Walnut Valley Pets LLC,0,ORG
Walters Land and Cattle Company,0,ORG
That'll Do Kennel LLC,0,ORG
The Perky Pack LLC,0,ORG
The Woof Gang LLC,0,ORG
SILVERSTAKE LODE LLC,0,ORG
THISTLEDOWN FARM LLC,0,ORG
SIMLERS KENNEL LLC,0,ORG
Whispering Pine Fish Farm LLC,0,ORG
Whispering Pines Puppies Inc,0,ORG
WILD N OATS EXOTICS LLC,0,ORG
Timbercreek Puppies Inc,0,ORG
Timberside K-9 LLC,0,ORG
Shoal Creek Puppies LLC,0,ORG
Wisdom Home Front Family Labs,0,ORG
Woodland Canines LLC,0,ORG
WOODLAND PUPPIES LLC,0,ORG
Woodside Pets LLC,0,ORG
Yoast Station Farm,0,ORG
Zimmerman French Bulldogs LLC,0,ORG
Willow Run Puppies LLC W.S.,0,ORG
Winn Dixie Kennel LLC,0,ORG
WLK Kennels LLC,0,ORG
Wooded Creek Kennel LLC,0,ORG
Woodlot Companions LLC,0,ORG
Woodside Kennels,0,ORG
Woodward Bulldogs LLC,0,ORG
"Yoder Valley Pets, LLC",0,ORG
Tiny Paws Pups LLC,0,ORG
TLC Puppies,0,ORG
"Paws to Admire, Inc",0,ORG
Pawsitive Memories LLC,0,ORG
Peaceful Acres Puppies LLC,0,ORG
Select Dachshunds LLC,0,ORG
Peaceful Paws Puppies LLC,0,ORG
"Peaceful Paws Puppies, LLC",0,ORG
Peaceful Pines LLC,0,ORG
"Pedigree Ranch, Inc.",0,ORG
Penchant Paws LLC,0,ORG
Rocky Road Kennel LLC,0,ORG
Rolling Hills Puppies LLC,0,ORG
Rockefeller Doodles,0,ORG
Phantom Hollow Kennel LLC,0,ORG
Philip M. Hoover LLC,0,ORG
SHADY KENNELS LLC,0,ORG
Paw Paradise Kennel LLC,0,ORG
Pine Creek Bull Dog LLC,0,ORG
Paws Elite LLC,0,ORG
Pine Creek Enterprises Inc,0,ORG
PINE CREEK PUPPIES LLC,0,ORG
Pine View Pets LLC,0,ORG
Pinegrove Kennels LLC,0,ORG
PK Pups LLC,0,ORG
Playful Paws LLC,0,ORG
Pleasant View Kennel LLC,0,ORG
PLP KENNEL_ Cancelled Account,0,ORG
Rock Springs Kennel LLC,0,ORG
POMS RULE INC,0,ORG
Rocky Lawn Acres LLC,0,ORG
Pond View Puppies LLC,0,ORG
Rockytopp Kennel LLC,0,ORG
PONDVIEW KENNEL LLC,0,ORG
"Posh Puppies, LLC",0,ORG
"Poultry Plus, LLC",0,ORG
Prairie Springs Kennel LLC,0,ORG
Prairie View Kennels LLC,0,ORG
"Precious Puppies, Inc",0,ORG
PREMIER BULLDOG ENTERPRISE INC,0,ORG
"Premier Puppies, LLC",0,ORG
Premium Paws LLC,0,ORG
Prestige Pets LLC,0,ORG
Pretty Poochies Puppies LLC,0,ORG
Primo Puppies LLC,0,ORG
"Roy's Ultimate Kennels, LLC",0,ORG
Puget Sound Doodles LLC,0,ORG
"Puppy Lodge, LLC",0,ORG
Puppy Love Kennel LLC,0,ORG
Puppy Love LLC,0,ORG
Puppy Love Puppies LLC,0,ORG
Puppy Place Inc.,0,ORG
Puppys R Us LLC,0,ORG
PUPPYSTARS INC.,0,ORG
PURPLE PAWS LLC,0,ORG
Quinn LLC,0,ORG
R Family Kennel LLC,0,ORG
R Valley Pets LLC,0,ORG
Railside Acres LLC,0,ORG
Rainbow Creek Kennels,0,ORG
"Schnauzer Heaven Von Longbach, LLC",0,ORG
Shadow Valley LLC,0,ORG
Shady Lawn Kennels LLC,0,ORG
Paw Print Companions LLC,0,ORG
Rock Ridge Golden Retrievers LLC,0,ORG
Rock'N V Ranch LLC,0,ORG
"Rolling Acres Stables, LLC",0,ORG
Rebar Kennels LLC,0,ORG
Roscot Painted Acres Inc.,0,ORG
Red Shed Puppies Ltd,0,ORG
Reisman LLC,0,ORG
Russow Ranch LLC,0,ORG
S & A Kennels,0,ORG
